Name,HoF,Yrs,WAR,WAR7,JAWS,Jpos,JAWSratio,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPSadj
Otto Knabe,No,11,9.6,10.9,10.3,57,18.07017544,1278,4469,572,1103,8,365,143,485,0.247,0.325,0.313,0.639,87
Ozzie Guillen,No,16,20.9,19.3,20.1,55.3,36.34719711,1993,6686,773,1764,28,619,169,239,0.264,0.287,0.338,0.626,69
Ozzie Smith,Yes,19,76.9,42.5,59.7,55.3,107.9566004,2573,9396,1257,2460,28,793,580,1072,0.262,0.337,0.328,0.666,87
Pat Moran,No,14,6.8,7.9,7.4,44.2,16.74208145,818,2634,198,618,18,262,55,142,0.235,0.283,0.312,0.595,78
Paul Blair,No,17,37.8,35.4,36.6,58,63.10344828,1947,6042,776,1513,134,620,171,449,0.25,0.302,0.382,0.684,96
Paul Konerko,No,18,27.7,21.5,24.6,54.2,45.38745387,2349,8393,1162,2340,439,1412,9,921,0.279,0.354,0.486,0.831,118
Paul Molitor,Yes,21,75.7,39.7,57.7,55.7,103.5906643,2683,10835,1782,3319,234,1307,504,1094,0.306,0.369,0.448,0.817,122
Paul O'Neill,No,17,38.9,27.4,33.2,57.2,58.04195804,2053,7318,1041,2105,281,1269,141,892,0.288,0.363,0.47,0.833,120
Paul Waner,Yes,20,72.8,42.2,57.5,57.2,100.5244755,2549,9459,1627,3152,113,1309,104,1091,0.333,0.404,0.473,0.878,134
Pedro Guerrero,No,15,34.5,32,33.2,53.6,61.94029851,1536,5392,730,1618,215,898,97,609,0.3,0.37,0.48,0.85,137
Pee Wee Reese,Yes,16,66.3,40.9,53.6,55.3,96.92585895,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
Pep Young,No,10,6,7,6.5,57,11.40350877,730,2466,274,645,32,347,18,152,0.262,0.308,0.38,0.688,85
Pepper Martin,No,13,17.4,16.6,17,58,29.31034483,1189,4117,756,1227,59,501,146,369,0.298,0.358,0.443,0.801,113
Pete Reiser,No,10,21.8,21.5,21.6,58,37.24137931,861,2662,473,786,58,368,87,343,0.295,0.38,0.45,0.829,128
Pete Rose,No,24,79.7,44.9,62.3,53.6,116.2313433,3562,14053,2165,4256,160,1314,198,1566,0.303,0.375,0.409,0.784,118
Phil Cavarretta,No,22,34.6,25.2,29.9,54.2,55.16605166,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
Phil Garner,No,16,29.7,23.3,26.5,57,46.49122807,1860,6136,780,1594,109,738,225,564,0.26,0.323,0.389,0.711,99
Phil Rizzuto,Yes,13,40.8,33.8,37.3,55.3,67.45027125,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
Pie Traynor,Yes,17,36.3,25.7,31,55.7,55.65529623,1941,7559,1183,2416,58,1273,158,472,0.32,0.362,0.435,0.797,107
Ping Bodie,No,9,14.7,15.7,15.2,58,26.20689655,1050,3670,393,1011,43,514,83,312,0.275,0.335,0.396,0.731,109
Pinky Higgins,No,14,27.5,21,24.3,55.7,43.62657092,1802,6636,931,1941,140,1075,61,800,0.292,0.37,0.428,0.798,107
Placido Polanco,No,16,41.5,32.3,36.9,56.9,64.85061511,1927,7214,1009,2142,104,723,81,429,0.297,0.343,0.397,0.74,95
Prince Fielder,No,12,23.8,24.9,24.4,54.2,45.01845018,1611,5821,862,1645,319,1028,18,847,0.283,0.382,0.506,0.887,134
Rabbit Maranville,Yes,23,42.9,30.5,36.7,55.3,66.36528029,2670,10078,1256,2605,28,884,291,839,0.258,0.318,0.34,0.658,82
Rafael Palmeiro,No,20,71.9,38.9,55.4,54.2,102.2140221,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132
Ralph Kiner,Yes,10,49.4,43.7,46.5,53.6,86.75373134,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
Raul Ibanez,No,19,20.4,20.1,20.2,53.7,37.61638734,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111
Ray Blades,No,10,15.1,15.2,15.1,53.6,28.17164179,767,2415,467,726,50,340,33,331,0.301,0.395,0.46,0.855,123
